"ASV_ID","kingdom","phylum","class","order","family","genus","species","domain","species_raw","best_id","species_lab"
"ASV359","Eukaryota","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla tschutschensis","Eukaryota","Motacilla tschutschensis","Motacilla tschutschensis","Motacilla tschutschensis"
"ASV362","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","Eukaryota","Scomber scombrus","Scomber scombrus","Scomber scombrus 9"
"ASV364","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus norvegicus","Eukaryota","Zeugopterus norvegicus","Zeugopterus norvegicus","Zeugopterus norvegicus 4"
"ASV365","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectidae","Pleuronectidae","Eukaryota",NA,"Pleuronectidae","Pleuronectidae 5"
"ASV369","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 20"
"ASV370","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus finnmarchicus","Eukaryota","Gadus finnmarchicus","Gadus finnmarchicus","Gadus finnmarchicus"
"ASV374","Eukaryota","Chordata","Mammalia","Mammalia","Mammalia","Mammalia","Mammalia","Eukaryota",NA,"Mammalia","Mammalia 4"
"ASV376","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 25"
"ASV377","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus thompsonii","Eukaryota","Myoxocephalus thompsonii","Myoxocephalus thompsonii","Myoxocephalus thompsonii"
"ASV378","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Entelurus","Entelurus aequoreus","Eukaryota","Entelurus aequoreus","Entelurus aequoreus","Entelurus aequoreus"
"ASV379","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Apodemus","Apodemus sylvaticus","Eukaryota","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus sylvaticus"
"ASV385","Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis margarita","Eukaryota","Felis margarita","Felis margarita","Felis margarita"
